City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Mataura,NZ,-46.1927,168.8643,49.48,97,24,2.57,few clouds
1,Kapaa,US,22.0752,-159.319,81.12,72,1,1.99,clear sky
2,Zhireken,RU,52.8249,117.3076,42.76,92,19,4.76,few clouds
3,Albany,US,42.6001,-73.9662,78.91,58,100,4.9,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,31.62,95,26,1.66,scattered clouds
5,Amga,RU,60.8953,131.9608,49.69,69,13,2.1,few clouds
6,Atuona,PF,-9.8,-139.0333,80.02,72,100,15.93,overcast clouds
7,Arcos,BR,-20.2819,-45.5394,77.97,48,11,2.51,few clouds
8,Nikolskoye,RU,59.7035,30.7861,60.69,75,35,5.39,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,92,8.99,overcast clouds
10,Kopervik,NO,59.2835,5.3067,68.14,45,0,9.22,clear sky
11,Busselton,AU,-33.65,115.3333,60.03,68,100,3.0,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,27.97,77,98,3.22,overcast clouds
13,Thompson,CA,55.7435,-97.8558,78.96,34,75,12.66,broken clouds
14,Bluff,NZ,-46.6,168.3333,49.8,82,100,11.07,overcast clouds
15,Neuquen,AR,-38.9516,-68.0591,57.09,41,0,4.61,clear sky
16,Kloulklubed,PW,7.0419,134.2556,77.5,77,81,4.32,broken clouds
17,Fortuna,US,40.5982,-124.1573,88.48,87,20,8.05,few clouds
18,Airai,TL,-8.9266,125.4092,55.47,89,42,2.84,scattered clouds
19,Puerto Escondido,MX,15.85,-97.0667,90.43,62,40,14.97,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,72.36,60,100,17.83,overcast clouds
21,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,97,15.52,light rain
22,Mgandu,TZ,-5.95,34.1333,63.39,57,35,5.14,scattered clouds
23,Barrow,US,71.2906,-156.7887,28.42,74,90,18.41,overcast clouds
24,Hobart,AU,-42.8794,147.3294,53.26,79,98,5.64,overcast clouds
25,Leeton,AU,-34.5667,146.4,51.85,100,90,3.11,moderate rain
26,Kefamenanu,ID,-9.4467,124.4781,69.44,96,98,3.83,overcast clouds
27,Tomatlan,MX,19.9333,-105.25,96.31,37,100,8.75,overcast clouds
28,Guerrero Negro,MX,27.9769,-114.0611,71.8,53,7,13.22,clear sky
29,Jamestown,US,42.097,-79.2353,71.19,56,20,10.36,few clouds
30,Hithadhoo,MV,-0.6,73.0833,83.91,67,100,16.35,overcast clouds
31,Lagoa,PT,39.05,-27.9833,59.47,63,42,6.8,scattered clouds
32,Nam Dinh,VN,20.4167,106.1667,84.94,84,95,11.48,overcast clouds
33,Nanortalik,GL,60.1432,-45.2371,40.6,79,100,13.94,overcast clouds
34,Saint George,US,37.1041,-113.5841,100.54,11,1,1.01,clear sky
35,Georgetown,MY,5.4112,100.3354,82.89,88,20,2.3,few clouds
36,Torres,BR,-29.3353,-49.7269,69.35,75,67,7.09,broken clouds
37,Broken Hill,AU,-31.95,141.4333,49.71,87,19,9.22,few clouds
38,General Roca,AR,-39.0333,-67.5833,57.6,32,97,9.06,overcast clouds
39,Carnarvon,AU,-24.8667,113.6333,55.47,82,100,8.05,overcast clouds
40,Kaitangata,NZ,-46.2817,169.8464,42.53,90,13,6.78,few clouds
41,Hilo,US,19.7297,-155.09,77.79,78,90,3.44,overcast clouds
42,Kysyl-Syr,RU,63.8986,122.7617,54.21,81,77,4.79,broken clouds
43,East London,ZA,-33.0153,27.9116,61.39,83,100,18.34,light rain
44,Porto Nacional,BR,-10.7081,-48.4172,91.4,28,0,3.91,clear sky
45,Pisco,PE,-13.7,-76.2167,64.45,88,90,4.61,mist
46,Hamilton,US,39.1834,-84.5333,67.21,95,90,1.01,mist
47,Dikson,RU,73.5069,80.5464,22.77,93,31,5.48,scattered clouds
48,Port Blair,IN,11.6667,92.75,83.3,76,18,3.98,few clouds
49,Mersing,MY,2.4312,103.8405,76.91,94,59,5.75,broken clouds
50,Bredasdorp,ZA,-34.5322,20.0403,55.27,94,38,9.42,scattered clouds
51,Victoria,HK,22.2855,114.1577,85.32,90,100,7.05,overcast clouds
52,Torbay,CA,47.6666,-52.7314,71.89,58,20,27.63,few clouds
53,Tongliao,CN,43.6125,122.2653,53.49,49,2,13.2,clear sky
54,Samarai,PG,-10.6167,150.6667,78.26,82,100,12.17,overcast clouds
55,Avarua,CK,-21.2078,-159.775,78.85,69,65,13.8,broken clouds
56,Buluang,PH,13.3068,123.3425,78.94,87,100,6.46,overcast clouds
57,Gawler,AU,-34.6,138.7333,55.63,89,2,0.51,clear sky
58,Bowen,AU,-20.0167,148.2333,61.02,91,78,7.23,broken clouds
59,New Norfolk,AU,-42.7826,147.0587,52.92,76,100,1.01,overcast clouds
60,Souillac,MU,-20.5167,57.5167,76.35,64,20,16.64,few clouds
61,Hermanus,ZA,-34.4187,19.2345,62.91,81,33,14.12,scattered clouds
62,Shache,CN,38.4167,77.2406,73.36,28,74,7.83,broken clouds
63,Khatanga,RU,71.9667,102.5,33.28,86,100,2.84,overcast clouds
64,Ampanihy,MG,-24.7,44.75,66.09,95,18,5.68,few clouds
65,Teahupoo,PF,-17.8333,-149.2667,76.96,70,81,10.07,broken clouds
66,Vaini,TO,-21.2,-175.2,69.96,83,75,2.3,broken clouds
67,Cape Town,ZA,-33.9258,18.4232,63.12,79,0,5.01,clear sky
68,Sao Sepe,BR,-30.1606,-53.5653,71.55,67,100,7.25,overcast clouds
69,Murdochville,CA,48.9583,-65.5006,50.88,47,26,13.04,scattered clouds
70,Inhambane,MZ,-23.865,35.3833,69.78,88,40,5.75,light rain
71,Vila,PT,42.0304,-8.1588,55.74,87,100,3.6,overcast clouds
72,Igrim,RU,63.1906,64.4162,40.8,56,12,6.76,few clouds
73,Sukabumi,ID,-6.9181,106.9267,74.61,93,97,0.51,overcast clouds
74,Port Hedland,AU,-20.3167,118.5667,69.85,37,100,9.22,overcast clouds
75,Ojinaga,MX,29.5667,-104.4167,91.58,30,1,0.0,clear sky
76,Umm Lajj,SA,25.0213,37.2685,86.18,56,4,8.23,clear sky
77,Mabaruma,GY,8.2,-59.7833,82.98,68,58,6.96,broken clouds
78,Maldonado,UY,-34.6667,-54.9167,56.59,70,6,13.67,clear sky
79,Omsukchan,RU,62.5333,155.8,42.15,62,23,3.4,few clouds
80,Pevek,RU,69.7008,170.3133,32.45,73,19,2.19,few clouds
81,Geraldton,AU,-28.7667,114.6,52.21,87,0,10.4,clear sky
82,Ust-Tarka,RU,55.5672,75.705,51.31,72,10,5.08,clear sky
83,Enshi,CN,30.3,109.4833,69.82,97,99,2.37,light rain
84,Sola,VU,-13.8833,167.55,79.39,80,100,24.72,overcast clouds
85,Jardim,BR,-21.4803,-56.1381,91.36,29,10,4.47,clear sky
86,Namibe,AO,-15.1961,12.1522,72.05,82,88,6.78,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,61.36,79,99,19.89,overcast clouds
88,Husavik,IS,66.0449,-17.3389,55.31,77,38,5.12,scattered clouds
89,Punta Arenas,CL,-53.15,-70.9167,33.91,69,0,4.74,clear sky
90,Kodiak,US,57.79,-152.4072,47.71,81,90,5.75,light rain
91,Mahebourg,MU,-20.4081,57.7,76.24,64,20,14.97,few clouds
92,Kruisfontein,ZA,-34.0033,24.7314,53.89,93,100,13.31,heavy intensity rain
93,Coihaique,CL,-45.5752,-72.0662,43.41,87,90,5.75,overcast clouds
94,Colon,PA,9.3592,-79.9014,89.64,64,99,11.99,overcast clouds
95,Upernavik,GL,72.7868,-56.1549,32.04,82,100,7.49,overcast clouds
96,Port-Cartier,CA,50.0334,-66.8654,71.82,33,14,6.89,few clouds
97,Opuwo,NA,-18.0607,13.84,64.22,28,42,9.35,scattered clouds
98,Ponta Do Sol,PT,32.6667,-17.1,66.13,55,95,9.71,overcast clouds
99,Makakilo City,US,21.3469,-158.0858,80.92,59,20,9.22,few clouds
100,San Patricio,US,28.017,-97.5169,91.02,54,34,7.94,scattered clouds
101,Mehamn,NO,71.0357,27.8492,64.58,47,0,5.75,clear sky
102,Yellowknife,CA,62.456,-114.3525,59.52,77,40,1.99,scattered clouds
103,Hue,VN,16.4667,107.6,87.91,66,20,3.09,few clouds
104,Khalilabad,IN,26.775,83.0736,88.68,50,0,2.66,clear sky
105,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,57,0,12.66,clear sky
106,Clyde River,CA,70.4692,-68.5914,28.63,86,90,4.61,overcast clouds
107,Berdigestyakh,RU,62.0989,126.6992,50.27,75,94,1.92,overcast clouds
108,Safaga,EG,26.7292,33.9365,87.17,30,0,19.1,clear sky
109,Kuvshinovo,RU,57.0295,34.1725,49.24,83,8,4.07,clear sky
110,Gizo,SB,-8.103,156.8419,81.25,79,96,7.99,overcast clouds
111,Kota Bahru,MY,6.1333,102.2386,78.75,94,20,2.3,few clouds
112,Sabzevar,IR,36.2126,57.6819,89.28,11,0,6.26,clear sky
113,Troy,US,42.6056,-83.1499,70.18,81,90,1.99,light rain
114,Sitka,US,57.0531,-135.33,49.89,87,90,12.66,overcast clouds
115,Ungra,RO,45.9833,25.2667,53.01,88,100,1.57,overcast clouds
116,Udachnyy,RU,66.4167,112.4,58.26,65,82,0.81,broken clouds
117,Miles City,US,46.4083,-105.8406,84.51,24,1,0.0,clear sky
118,Chuy,UY,-33.6971,-53.4616,62.6,59,78,13.04,broken clouds
119,Lazaro Cardenas,MX,17.9583,-102.2,90.12,53,98,11.41,overcast clouds
120,Liku,ID,-0.7275,119.8922,74.98,92,28,3.33,scattered clouds
121,Pavlodar,KZ,52.3,76.95,66.0,68,40,12.86,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,48.42,93,100,11.18,moderate rain
123,Kavieng,PG,-2.5744,150.7967,80.62,79,100,5.95,light rain
124,Khuzhir,RU,53.1939,107.3397,43.79,88,95,1.86,overcast clouds
125,Leshukonskoye,RU,64.8989,45.7622,42.57,86,100,7.02,overcast clouds
126,Dingle,PH,10.9995,122.6711,76.89,91,100,5.26,light rain
127,Pakxe,LA,15.1167,105.7833,80.83,81,100,3.42,overcast clouds
128,Taoudenni,ML,22.6783,-3.9836,107.24,8,19,6.71,few clouds
129,Cabo San Lucas,MX,22.8909,-109.9124,94.6,48,29,6.11,scattered clouds
130,Luganville,VU,-15.5333,167.1667,75.13,81,82,8.63,broken clouds
131,Mayumba,GA,-3.432,10.6554,76.3,89,22,4.47,few clouds
132,Bethel,US,41.3712,-73.414,78.82,63,40,12.66,scattered clouds
133,Ust-Nera,RU,64.5667,143.2,45.64,71,9,2.44,clear sky
134,Kavaratti,IN,10.5669,72.642,83.34,78,100,16.02,overcast clouds
135,Pandamatenga,BW,-18.5278,25.627,57.65,28,7,8.28,clear sky
136,Miri,MY,4.4148,114.0089,78.94,94,20,3.78,few clouds
137,Narsaq,GL,60.9167,-46.05,50.22,63,100,13.42,overcast clouds
138,Finschhafen,PG,-6.6024,147.8681,77.22,86,41,8.37,scattered clouds
139,Nicoya,CR,10.1483,-85.452,92.75,42,30,6.78,scattered clouds
140,Grand-Lahou,CI,5.1367,-5.0242,80.71,82,96,8.59,overcast clouds
141,Kikwit,CD,-5.041,18.8162,75.43,47,44,1.97,scattered clouds
142,Pio Ix,BR,-6.8375,-40.5792,93.25,27,8,4.09,clear sky
143,Lavrentiya,RU,65.5833,-171.0,30.74,69,36,15.93,scattered clouds
144,Laguna,US,38.421,-121.4238,99.64,40,1,4.0,clear sky
145,Castro,BR,-24.7911,-50.0119,67.55,76,24,7.4,few clouds
146,Karasjok,NO,69.4719,25.5112,69.91,44,76,6.53,broken clouds
147,Norman Wells,CA,65.282,-126.8329,48.24,71,75,9.22,broken clouds
148,Faanui,PF,-16.4833,-151.75,80.55,71,100,13.6,overcast clouds
149,Beihai,CN,21.4833,109.1,85.59,77,100,3.36,overcast clouds
150,Axim,GH,4.8699,-2.2405,80.76,81,100,8.28,light rain
151,Katherine,AU,-14.4667,132.2667,71.92,73,90,6.85,overcast clouds
152,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,0,13.8,clear sky
153,Gigmoto,PH,13.7796,124.39,80.69,84,100,10.33,overcast clouds
154,Cidreira,BR,-30.1811,-50.2056,67.96,71,100,9.69,overcast clouds
155,Butaritari,KI,3.0707,172.7902,82.94,78,100,15.52,light rain
156,Tahta,EG,26.7693,31.5021,87.42,20,5,16.71,clear sky
157,Longyearbyen,SJ,78.2186,15.6401,39.04,81,90,26.46,light rain
158,Sao Filipe,CV,14.8961,-24.4956,74.5,77,16,11.32,few clouds
159,Luderitz,NA,-26.6481,15.1594,67.71,29,0,13.53,clear sky
160,Mar Del Plata,AR,-38.0023,-57.5575,55.09,62,0,1.01,clear sky
161,Coquimbo,CL,-29.9533,-71.3436,56.93,94,75,3.87,fog
162,Bogorodskoye,RU,56.55,37.8833,49.46,84,22,5.26,few clouds
163,Ilulissat,GL,69.2167,-51.1,42.82,56,1,8.05,clear sky
164,Ginir,ET,7.1333,40.7,56.62,90,10,5.46,clear sky
165,Chokurdakh,RU,70.6333,147.9167,63.73,26,17,1.43,few clouds
166,Alofi,NU,-19.0595,-169.9187,73.29,94,100,5.75,light rain
167,San Cristobal,VE,7.7669,-72.225,82.58,55,72,5.53,broken clouds
168,Lata,PT,40.1629,-8.3327,64.04,84,100,6.98,overcast clouds
169,Hervey Bay,AU,-25.2986,152.8535,67.03,75,29,2.48,scattered clouds
170,Nizhniy Bestyakh,RU,61.9594,129.9086,51.28,58,0,3.96,clear sky
171,Imbituba,BR,-28.24,-48.6703,75.09,69,100,4.14,moderate rain
172,Athabasca,CA,54.7169,-113.2854,81.01,42,21,7.29,few clouds
173,Xai-Xai,MZ,-25.0519,33.6442,64.22,91,48,4.68,moderate rain
174,Mazagao,BR,-0.115,-51.2894,91.45,62,23,5.7,few clouds
175,Port Lincoln,AU,-34.7333,135.8667,59.54,77,78,14.14,broken clouds
176,Ciudad Bolivar,VE,8.1222,-63.5497,89.49,45,88,5.39,overcast clouds
177,Caravelas,BR,-17.7125,-39.2481,77.76,71,90,7.02,overcast clouds
178,Asfi,MA,32.2994,-9.2372,66.29,71,1,18.41,clear sky
179,Edd,ER,13.9297,41.6925,88.5,67,14,4.76,few clouds
180,Moyale,KE,3.5167,39.0584,71.92,53,99,4.41,overcast clouds
181,Saint-Augustin,CA,51.226,-58.6502,59.63,54,72,11.81,broken clouds
182,Marzuq,YE,14.4,46.4667,79.66,51,100,4.5,overcast clouds
183,Dwarka,IN,22.2394,68.9678,83.68,77,43,15.64,scattered clouds
184,Cherskiy,RU,68.75,161.3,53.08,38,36,8.12,scattered clouds
185,Vigeland,NO,58.0844,7.305,60.94,87,42,12.66,scattered clouds
186,Tommot,RU,58.9564,126.2925,46.13,92,91,1.52,overcast clouds
187,Nizhniy Kuranakh,RU,58.8353,125.4869,46.15,92,97,1.9,overcast clouds
188,Tarnos,FR,43.5417,-1.4628,77.14,66,0,9.22,clear sky
189,Bengkulu,ID,-3.8004,102.2655,77.11,86,94,4.32,overcast clouds
190,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,92.16,35,61,5.66,broken clouds
191,Marang,MY,5.2056,103.2059,78.71,86,81,6.8,broken clouds
192,Felipe Carrillo Puerto,MX,19.5833,-88.05,95.0,38,31,7.38,scattered clouds
193,Byron Bay,AU,-28.65,153.6167,60.87,88,99,3.44,overcast clouds
194,Sorland,NO,67.667,12.6934,66.27,69,14,5.73,few clouds
195,Port Macquarie,AU,-31.4333,152.9167,51.39,77,92,5.93,overcast clouds
196,Te Anau,NZ,-45.4167,167.7167,42.82,93,49,1.45,scattered clouds
197,Manokwari,ID,-0.8667,134.0833,78.55,85,100,8.88,overcast clouds
198,Kikinda,RS,45.8297,20.4653,52.27,71,48,6.11,scattered clouds
199,Severo-Kurilsk,RU,50.6789,156.125,40.51,91,25,9.04,scattered clouds
200,Lakes Entrance,AU,-37.8811,147.981,52.18,71,100,7.09,light rain
201,Beira,MZ,-19.8436,34.8389,66.29,94,90,12.66,heavy intensity rain
202,Saldanha,ZA,-33.0117,17.9442,60.85,84,51,16.87,broken clouds
203,Najran,SA,17.4924,44.1277,84.85,17,100,3.04,overcast clouds
204,Salalah,OM,17.0151,54.0924,82.49,83,75,3.44,broken clouds
205,Alexandria,EG,31.2156,29.9553,71.37,62,0,8.68,clear sky
206,Koslan,RU,63.4564,48.8989,46.4,81,100,8.84,overcast clouds
207,Matara,LK,5.9485,80.5353,79.57,86,99,11.43,overcast clouds
208,Bolshaya Martynovka,RU,47.271,41.6679,59.25,95,41,8.72,scattered clouds
209,Ponta Delgada,PT,37.7333,-25.6667,63.32,51,20,10.36,few clouds
210,Bubaque,GW,11.2833,-15.8333,80.02,77,11,16.91,few clouds
211,Tabas,IR,33.5959,56.9244,97.25,9,0,8.43,clear sky
212,Sarangani,PH,5.4033,125.4636,82.76,77,29,4.7,scattered clouds
213,Orativ,UA,49.1889,29.527,51.62,93,100,10.25,overcast clouds
214,Santa Cruz,BO,-17.8,-63.1667,86.38,42,22,15.23,few clouds
215,Kutum,SD,14.2,24.6667,88.09,17,100,3.49,overcast clouds
216,Xichang,CN,27.8964,102.2634,67.41,93,60,2.08,broken clouds
217,Lebu,CL,-37.6167,-73.65,56.23,91,100,9.19,overcast clouds
218,Lucapa,AO,-8.4192,20.7447,71.13,32,100,2.8,overcast clouds
219,Sovetskaya Gavan,RU,48.9723,140.2878,47.03,97,100,2.33,overcast clouds
220,Krasnoselkup,RU,65.7,82.4667,38.3,63,98,9.17,overcast clouds
221,Shelby,US,35.2001,-89.8668,83.91,66,75,1.01,broken clouds
222,Port Hawkesbury,CA,45.6169,-61.3485,74.88,40,1,12.66,clear sky
223,Alyangula,AU,-13.8483,136.4192,64.27,100,44,6.29,scattered clouds
